STATE,APC,PDP,LP,
EKITI,"201,494","89,554","11,397",
KWARA,"263,572","136,909","31,166",
OSUN,"343,945","354,366","23,283",
ONDO,"369,924","115,463","44,405",
OGUN,"341,554","123,831",85.829,
OYO,"449,884","182,977","99,110",
YOBE,"151,459","198,567","2,406",
ENUGU,"4,772","15,749","428,640",
LAGOS,"572,606","75,750","582,454",
GOMBE,"146,977","319,123","26, 160",
ADAMAWA,"182,881","417,611","105,648",
KATSINA,"482,283","489,045","6,376",
JIGAWA,"421,390","386,587","1,889",
NASARAWA,"172,922","147,093","191,361",
NIGER,"375, 183","284, 898","80,452",
BENUE,"310,468","130,081","308,372",
FCT,"90,902","74,194","281,717",
AKWA IBOM,"160,620","214,012","132,683",
EDO,"144,471","89,585","331,163",
ABIA,"8,914","22,676","327,095",
KOGI,"240,751","145,104","56,217",
BAUCHI,"316,694","426,607","27,373",
PLATEAU,"307,195","243,808","466,272",
BAYELSA,"42, 572","68,818","49,975",
KADUNA,"399,293","554,360","294,494",
KEBBI,"248,088","285,175","10,682",
KANO,"517,341","131,716","28,513",
ZAMFARA,"298,396","193,978","1,660",
SOKOTO,"285,444","288,679","6,568",
CROSS RIVER,"130,520","95,425","179,917",
DELTA,"90,183","161,600","341,866",
EBONYI,"42,402","13,503","259,738",
ANAMBRA,"5,111","9,036","584,621",
TARABA,"135,165","189,017","146,315",
BORNO,"252,282","190,921",7205,
RIVERS,"231,591","88,468","175,071",
IMO,66406,"30,234","360,495",
AGGREGATE,"8,794,726","6,984,520","6,101,533",
